fid,Project Na,ProjectID,Registry N,Methodolog,Project Ty,Country,Project De,Project St,Project En,Date of En,Processing,PD Decline,Geometry T,Project Ar,Project Ac,Project Re
1,Unitan Afforestation and Reforestation of Grazing Lands Project,VCS2610,Verra,AR-ACM0003,ARR,Argentina,Unitan S.A.I.C.A,09/16/2016,09/15/2056,05/01/2024,Official,N/A,Polygon,"MULTIPOLYGON Z (((-59.32754 -26.115166 0, -59.299063 -26.10671 0, -59.299445 -26.107409 0, -59.30003 -26.108636 0, -59.327779 -26.137943 0, -59.32754 -26.115166 0)), ((-59.404586 -25.933281 0, -59.40537 -25.933331 0, -59.40821 -25.93336 0, -59.408214 -25","MULTIPOLYGON Z (((-59.175335 -27.40562 0, -59.175644 -27.405775 0, -59.176034 -27.40533 0, -59.176354 -27.405567 0, -59.176473 -27.405541 0, -59.176628 -27.40565 0, -59.176621 -27.405797 0, -59.17724 -27.406349 0, -59.177454 -27.405769 0, -59.17621 -27.4",
3,Conversion to Protection of the Amazon Rain Forest,VCS1000,Verra,VM0010,IFM,Bolivia,Redd Services Pte Ltd,04/01/2008,03/31/2038,10/27/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-66.940262 -11.022955, -66.924987 -11.022993, -66.898526 -11.022955, -66.880527 -11.02284, -66.881602 -11.029901, -66.884518 -11.049186, -66.886399 -11.062254, -66.879606 -11.063942, -66.870606 -11.065938, -66.877322 -11.069353, -66.88787",,
4,Protection of the Amazon Rain Forest 2,VCS999,Verra,VM0007,AD,Bolivia,Palma Efuus SRL,08/01/2012,07/31/2042,10/27/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-67.066403 -11.021207, -67.033392 -11.011317, -66.967756 -10.991857, -66.910019 -10.97471, -66.871999 -10.984729, -66.875596 -11.022106, -66.901542 -11.025189, -66.930314 -11.0284, -67.054136 -11.042979, -67.074945 -11.045548, -67.095175","MULTIPOLYGON (((-66.932277 -10.986832, -66.910747 -10.979701, -66.890429 -10.980104, -66.87482 -10.986294, -66.877242 -11.005132, -66.880471 -11.004863, -66.882624 -11.002845, -66.883163 -11.000557, -66.888007 -10.99975, -66.888276 -11.005536, -66.889621",
5,Protection of the Bolivian Amazon Forest,VCS818,Verra,VM0007,AD,Bolivia,Fermin Aldabe,10/20/2011,10/19/2041,10/27/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-66.271115 -12.144905 0, -66.268939 -12.155252 0, -66.273512 -12.154827 0, -66.27649 -12.151925 0, -66.277364 -12.151915 0, -66.278953 -12.150785 0, -66.279039 -12.148885 0, -66.280238 -12.148656 0, -66.283694 -12.148328 0, -66.285219 -",,
6,REDD Project - Territorio Indigena Originario Campesino,VCS3506,Verra,VM0015,AD,Bolivia,GreenAir Limited,01/01/2018,12/31/2047,10/19/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-62.416603 -18.998445 0, -62.273186 -19.192055 0, -62.260567 -19.552919 0, -62.3607 -19.555779 0, -62.359133 -19.593744 0, -62.344372 -19.591555 0, -62.345059 -20.00946 0, -62.429833 -20.00816 0, -62.428084 -20.250705 0, -62.028202 -20.",,
7,ABC Norte REDD Project,VCS2558,Verra,VM0015,AD,Brazil,ABC Agropecuária Brasil Norte S.A. Produção e Exportação (Primary PP),09/13/2017,09/12/2047,03/19/2024,Official,No,Polygon,"MULTIPOLYGON Z (((-50.163697 -2.492257 0, -50.161234 -2.492234 0, -50.161719 -2.493976 0, -50.162523 -2.496868 0, -50.162502 -2.497433 0, -50.161352 -2.500483 0, -50.163402 -2.503079 0, -50.164824 -2.504188 0, -50.1667 -2.505651 0, -50.167978 -2.508256 0","MULTIPOLYGON (((-50.739395 -2.536053, -50.739665 -2.536053, -50.739665 -2.536324, -50.740744 -2.536325, -50.740744 -2.536596, -50.740839 -2.536596, -50.742202 -2.536466, -50.743359 -2.53546, -50.744253 -2.534601, -50.744253 -2.534154, -50.744792 -2.53415",
8,Agrocortex REDD Project,VCS1686,Verra,VM0015,AD,Brazil,Agrocortex Madeiras do Acre Agroflorestal Ltda.,07/01/2014,06/30/2044,08/11/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-69.022031 -8.713323 0, -69.022846 -8.712156 0, -69.022693 -8.711243 0, -69.021521 -8.710533 0, -69.022591 -8.710178 0, -69.023611 -8.710279 0, -69.026109 -8.710736 0, -69.034572 -8.711648 0, -69.043444 -8.712662 0, -69.047137 -8.712888",,
9,Amazon Rio REDD+ IFM,VCS1147,Verra,VM0011,IFM,Brazil,Empresa Brasileira de Conservacao de Florestas (EBCF),06/05/2013,06/04/2049,04/29/2024,Official,N/A,Polygon,"MULTIPOLYGON Z (((-61.547978 -5.988976 0, -61.54845 -5.994109 0, -61.550074 -6.000508 0, -61.546828 -6.002559 0, -61.539237 -6.000528 0, -61.537716 -6.002989 0, -61.542056 -6.009872 0, -61.545027 -6.011711 0, -61.545102 -6.011566 0, -61.545128 -6.011026",,
11,"Carbon Project in the Emas-Taquari Biodiversity Corridor, Goias and Mato Grosso do Sul, Brazil",VCS738,Verra,AR-AMS0001,ARR,Brazil,Oreades Geoprocessing Center,12/06/2010,12/05/2040,10/26/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-53.379876 -18.212124 0, -53.379462 -18.211721 0, -53.37897 -18.212183 0, -53.378687 -18.212448 0, -53.376844 -18.214258 0, -53.375484 -18.215578 0, -53.378324 -18.219202 0, -53.379667 -18.217609 0, -53.381154 -18.215799 0, -53.37952 -1",,
12,Cikel Brazilian Amazon REDD APD Project,VCS832,Verra,VM0007,AD,Brazil,CKVB Florestal Ltda.,07/19/2007,07/18/2027,10/27/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-48.271943 -3.676091 0, -48.273706 -3.616576 0, -48.244026 -3.615792 0, -48.24678 -3.55584 0, -48.186932 -3.554374 0, -48.186932 -3.554373 0, -48.189393 -3.525683 0, -48.129319 -3.522402 0, -48.129032 -3.552919 0, -48.186968 -3.554988 0","MULTIPOLYGON Z (((-48.815778 -3.696437 0, -48.815812 -3.69639 0, -48.815832 -3.696368 0, -48.816065 -3.696124 0, -48.816103 -3.696089 0, -48.816145 -3.696058 0, -48.81619 -3.696033 0, -48.816237 -3.696012 0, -48.816852 -3.69579 0, -48.816927 -3.69577 0,",
